area_type,availability,location,size,total_sqft,bath,balcony,price(in Lakhs),price
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1257,2,1,69,6900000
Super built-up  Area,20-Dec,Hoodi,4 BHK,2090,4,0,95.1,9510000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1575,3,2,66.39,6639000
Super built-up  Area,19-Dec,Hoodi,3 BHK,1512,3,2,75.77,7577000
Super built-up  Area,19-Dec,Hoodi,2 BHK,1026,2,1,60.87,6087000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1050,2,2,50,5000000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1837,3,3,145,14500000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1400,2,1,78,7800000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1850,3,2,146,14600000
Super built-up  Area,21-Jul,Hoodi,2 BHK,1196,2,0,71.74,7174000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1430,2,2,113,11300000
Super built-up  Area,19-Dec,Hoodi,3 BHK,1553,3,2,83.09,8309000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1220,2,2,50.89,5089000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1105,2,2,46.37,4637000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1132,2,1,89.37,8937000
Super built-up  Area,19-Dec,Hoodi,2 BHK,1055,2,1,57.63,5763000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1925,2,3,114,11400000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1112,2,1,88,8800000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1400,2,1,82,8200000
Super built-up  Area,21-Dec,Hoodi,1 BHK,706,1,1,48.24,4824000
Super built-up  Area,21-Jul,Hoodi,3 BHK,1639,3,1,98.32,9832000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1606,3,3,89.55,8955000
Super built-up  Area,19-Dec,Hoodi,3 BHK,1545,3,1,68.75,6875000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1420,2,2,75,7500000
Plot  Area,Ready To Move,Hoodi,4 BHK,1100,4,1,120,12000000
Plot  Area,Ready To Move,Hoodi,3 BHK,780,3,1,62,6200000
Built-up  Area,Ready To Move,Hoodi,3 BHK,1490,3,0,85,8500000
Built-up  Area,18-Mar,Hoodi,4 BHK,3385,4,1,220,22000000
Built-up  Area,Ready To Move,Hoodi,3 BHK,1400,3,2,74,7400000
Built-up  Area,Ready To Move,Hoodi,3 BHK,1350,3,2,70,7000000
Built-up  Area,Ready To Move,Hoodi,2 BHK,1000,2,2,48,4800000
Built-up  Area,Ready To Move,Hoodi,3 BHK,1370,3,2,67,6700000
Built-up  Area,Ready To Move,Hoodi,2 BHK,1240,2,3,65,6500000
Built-up  Area,Ready To Move,Hoodi,2 BHK,948,2,1,75,7500000
Built-up  Area,Ready To Move,Hoodi,2 BHK,1500,2,1,84,8400000
Built-up  Area,Ready To Move,Hoodi,2 BHK,1247,2,0,53,5300000
Built-up  Area,Ready To Move,Hoodi,3 BHK,1350,2,3,48,4800000
Built-up  Area,18-Mar,Hoodi,4 BHK,2863,4,1,140,14000000
Built-up  Area,Ready To Move,Hoodi,3 BHK,1445,3,2,65,6500000
Built-up  Area,Ready To Move,Hoodi,2 BHK,1425,2,2,80,8000000
Built-up  Area,Ready To Move,Hoodi,2 BHK,985,2,2,67,6700000
Super built-up  Area,19-Dec,Hoodi,3 BHK,1746,3,3,84.95,8495000
Super built-up  Area,19-Dec,Hoodi,4 BHK,2118,4,2,111,11100000
Super built-up  Area,21-Dec,Hoodi,3 BHK,1639,3,2,110,11000000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1715,2,2,95,9500000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1196,2,2,94.42,9442000
Super built-up  Area,19-Dec,Hoodi,2 BHK,1111,2,1,49.43,4943000
Super built-up  Area,19-Dec,Hoodi,3 BHK,1644,3,3,80.51,8051000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1660,3,2,125,12500000
Super built-up  Area,21-Jul,Hoodi,3 BHK,1837,3,1,110,11000000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1108,2,1,87.48,8748000
Super built-up  Area,21-Jul,Hoodi,2 BHK,1108,2,0,66.46,6646000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,2144,3,2,140,14000000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1660,3,2,128,12800000
Super built-up  Area,19-Dec,Hoodi,2 BHK,1447,3,2,76,7600000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1225,2,1,45,4500000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1660,3,2,131,13100000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1715,2,2,100,10000000
Super built-up  Area,19-Dec,Hoodi,3 BHK,1559,3,1,81.55,8155000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1837,3,3,142,14200000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1259,2,2,69.45,6945000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1181,2,2,55,5500000
Super built-up  Area,19-Dec,Hoodi,2 BHK,1063,2,1,61.17,6117000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1655,3,2,131,13100000
Super built-up  Area,21-Jul,Hoodi,2 BHK,1132,2,0,67.9,6790000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1108,2,1,87,8700000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1430,2,2,110,11000000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1925,3,3,110,11000000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1132,2,1,89,8900000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1769,3,3,96.87,9687000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1257,2,1,71.03,7103000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1305,2,1,75,7500000
Super built-up  Area,18-May,Hoodi,2 BHK,1240,2,3,43.94,4394000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1490,3,2,79,7900000
Super built-up  Area,22-Jun,Hoodi,2 BHK,1250,2,2,98,9800000
Super built-up  Area,22-Jun,Hoodi,3 BHK,1639,3,2,129,12900000
Super built-up  Area,21-Dec,Hoodi,2 BHK,1108,2,1,74.23,7423000
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1530,2,2,67,6700000
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1257,2,1,68.5,6850000
Super built-up  Area,Ready To Move,"Hoodi Circle,",2 BHK,1190,2,2,59.9,5990000
Built-up  Area,20-Dec,"Hoodi Circle,",2 BHK,1234,2,1,61,6100000
Built-up  Area,20-Dec,"Hoodi Circle,",1 BHK,793,1,1,40,4000000
Built-up  Area,20-Dec,"Hoodi Circle,",3 BHK,1629,3,2,79,7900000
Built-up  Area,19-Dec,"Hoodi Circle,",1 BHK,813,1,1,39,3900000
Built-up  Area,19-Dec,"Hoodi Circle,",2 BHK,1243,2,1,58,5800000
Built-up  Area,19-Dec,"Hoodi Circle,",4 BHK,2107,4,3,95,9500000
Super built-up  Area,Ready To Move,Hoodi Layout,2 BHK,1160,2,2,75,7500000
Built-up  Area,Ready To Move,Hoodi Layout,3 BHK,1500,3,2,88,8800000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1560,3,2,75,7500000
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,755,2,1,37.49,3749000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1364,2,3,50,5000000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1150,2,1,42,4200000
Plot  Area,Ready To Move,Horamavu Agara,4 BHK,1250,4,1,100,10000000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1145,2,1,41.21,4121000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1284,2,2,75,7500000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1250,3,2,65,6500000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1107.83,2,1,41.51,4151000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1060,2,1,37,3700000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1265,2,1,65,6500000
Super built-up  Area,19-Dec,Horamavu Agara,2 BHK,1169,2,1,64,6400000
Super built-up  Area,18-Dec,Horamavu Agara,2 BHK,1079,2,2,41,4100000
Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,1756,3,2,92,9200000
Super built-up  Area,18-Feb,Horamavu Agara,2 BHK,950,2,3,39,3900000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1650,2,1,75,7500000
Super built-up  Area,18-May,Horamavu Agara,3 BHK,1453,2,1,46.48,4648000
Super built-up  Area,19-Dec,Horamavu Agara,3 BHK,1623,3,1,89,8900000
Super built-up  Area,Ready To Move,Horamavu Agara,1 BHK,625,1,1,27,2700000
Super built-up  Area,18-May,Horamavu Agara,3 BHK,1176,2,1,37.62,3762000
Super built-up  Area,18-May,Horamavu Agara,2 BHK,1166,2,1,37.29,3729000
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,982,2,1,47.65,4765000
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1106,2,1,43.09,4309000
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,980,2,1,38.19,3819000
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,760,2,2,37.49,3749000
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,750,2,1,37.49,3749000
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1080,2,1,38,3800000
Built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1400,3,3,63,6300000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1200,2,1,45,4500000
Plot  Area,Ready To Move,Horamavu Agara,4 BHK,1200,2,0,95,9500000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1557,3,1,70,7000000
Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,1090,2,1,46,4600000
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1300,2,2,52,5200000
Super built-up  Area,18-May,Horamavu Agara,2 BHK,1213,2,2,38.1,3810000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1220,2,2,39,3900000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1107.83,2,1,41.51,4151000
Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,994,2,1,42.28,4228000
Super built-up  Area,18-Mar,Horamavu Agara,2 BHK,1058,2,2,47,4700000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1000,2,1,46,4600000
Built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1081,2,1,52,5200000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1025,2,2,45,4500000
Built-up  Area,18-May,Horamavu Banaswadi,4 BHK,1200,4,2,105,10500000
Plot  Area,Ready To Move,Horamavu Banaswadi,3 BHK,1448,4,0,118,11800000
Plot  Area,Ready To Move,Horamavu Banaswadi,4 BHK,675,4,2,68,6800000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,1554,3,2,55,5500000
Super built-up  Area,18-May,Horamavu Banaswadi,3 BHK,1611,3,3,66,6600000
Super built-up  Area,19-Dec,Horamavu Banaswadi,2 BHK,1460,2,1,80.5,8050000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1156,2,2,46,4600000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1180,2,2,58,5800000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1000,2,2,50,5000000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1357,2,2,54,5400000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,925,2,3,38,3800000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1307,2,2,51.6,5160000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1225,2,2,49.5,4950000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1200,2,1,45,4500000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1272,2,2,50,5000000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1272,2,2,48,4800000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1210,2,1,50,5000000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,1610,3,3,68,6800000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1357,2,2,54,5400000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1200,2,1,45,4500000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1156,2,2,46.9,4690000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1272,2,2,51.5,5150000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1272,2,2,51.5,5150000
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1254,2,2,47,4700000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1206,2,1,55,5500000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1210,2,3,69,6900000
Super built-up  Area,18-Apr,Hormavu,3 BHK,1166,2,2,34.97,3497000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1020,2,2,45.75,4575000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1310,2,2,67,6700000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1075,2,1,53.7,5370000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1310,2,3,60,6000000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1075,2,1,53.7,5370000
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1500,3,3,70,7000000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1153,2,1,65,6500000
Super built-up  Area,18-Apr,Hormavu,3 BHK,1453,2,2,43.58,4358000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1123,2,1,56,5600000
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1385,2,2,69,6900000
Super built-up  Area,18-Apr,Hormavu,2 BHK,1093,2,1,32.78,3278000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1260,2,2,35,3500000
Super built-up  Area,18-Apr,Hormavu,3 BHK,1176,2,1,35.27,3527000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1030,2,1,49.35,4935000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1018,2,1,50.8,5080000
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1555,3,2,75,7500000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1143,2,1,53,5300000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1100,2,3,38,3800000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1350,2,2,45,4500000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200,2,2,68,6800000
Super built-up  Area,19-Sep,Hormavu,3 BHK,1553,2,2,58.23,5823000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200,2,3,68,6800000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,765,2,1,37.49,3749000
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1420,3,2,58,5800000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1250,2,2,60,6000000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,965,2,2,37.15,3715000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1129,2,1,44,4400000
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1385,2,1,69.25,6925000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1165,2,1,40,4000000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1065,2,1,50.92,5092000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1046,2,1,60,6000000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,980,2,2,42,4200000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1141,2,1,44.4,4440000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1400,2,0,75,7500000
Super built-up  Area,19-Aug,Hormavu,2 BHK,1130,2,1,42.3,4230000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1175,2,1,52,5200000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1250,2,2,65,6500000
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1550,2,2,60,6000000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1015,2,1,39.08,3908000
Super built-up  Area,19-Jul,Hormavu,2 BHK,1263,2,1,47.36,4736000
Super built-up  Area,19-Aug,Hormavu,2 BHK,1196,2,1,44.8,4480000
Super built-up  Area,Ready To Move,Hormavu,3 BHK,1365,2,2,65,6500000
Built-up  Area,Ready To Move,Hormavu,3 BHK,2100,3,2,73,7300000
Built-up  Area,Ready To Move,Hormavu,2 BHK,1180,2,2,50,5000000
Built-up  Area,Ready To Move,Hormavu,4 BHK,4818,4,3,390,39000000
Built-up  Area,Ready To Move,Hormavu,3 BHK,1725,3,2,85,8500000
Built-up  Area,Ready To Move,Hormavu,2 BHK,1150,2,1,53.11,5311000
Super built-up  Area,Ready To Move,Hormavu,1 BHK,1351,2,1,53,5300000
Built-up  Area,Ready To Move,Hormavu,2 BHK,750,2,0,58,5800000
Built-up  Area,Ready To Move,Hormavu,2 BHK,1000,2,2,50,5000000
Built-up  Area,Ready To Move,Hormavu,4 BHK,3000,4,0,100,10000000
Built-up  Area,Ready To Move,Hormavu,3 BHK,1604,3,0,68,6800000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1050,2,1,77,7700000
Super built-up  Area,19-Dec,Hormavu,1 BHK,715,1,2,46,4600000
Built-up  Area,17-Dec,Hormavu,3 BHK,2400,3,1,177,17700000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2,1,78,7800000
Plot  Area,Ready To Move,Hormavu,2 BHK,860,2,0,56,5600000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1150,2,2,55,5500000
Plot  Area,Ready To Move,Hormavu,2 BHK,1200,2,0,73,7300000
Plot  Area,Ready To Move,Hormavu,4 BHK,3500,4,1,289,28900000
Plot  Area,17-Jul,Hormavu,2 BHK,1200,3,0,70,7000000
Plot  Area,Ready To Move,Hormavu,2 BHK,1200,2,0,67,6700000
Carpet  Area,19-Jun,Hormavu,4 BHK,2282,4,0,115,11500000
Plot  Area,18-Mar,Hormavu,3 BHK,1800,3,1,204,20400000
Super built-up  Area,18-Dec,Hosa Road,2 BHK,1161,2,1,48.75,4875000
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1016,2,1,39.95,3995000
Super built-up  Area,19-Mar,Hosa Road,1 BHK,615,1,1,43.08,4308000
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1541,3,1,69.61,6961000
Super built-up  Area,19-Jan,Hosa Road,3 BHK,1893,3,2,130,13000000
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,32.79,3279000
Super built-up  Area,19-Mar,Hosa Road,1 BHK,615,1,1,28.29,2829000
Super built-up  Area,19-Mar,Hosa Road,1 BHK,625,1,1,43.68,4368000
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,31.9,3190000
Super built-up  Area,18-Jan,Hosa Road,2 BHK,840,2,1,28,2800000
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1364,2,1,64.79,6479000
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1016,2,1,45,4500000
Super built-up  Area,18-Jan,Hosa Road,3 BHK,1730,3,2,72.6,7260000
Super built-up  Area,18-May,Hosa Road,2 BHK,1079,2,1,32.37,3237000
Super built-up  Area,18-May,Hosa Road,2 BHK,1143,2,1,34.2,3420000
Super built-up  Area,18-Dec,Hosa Road,2 BHK,1360,2,1,77.61,7761000
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1170,2,2,65,6500000
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1430,2,1,97.52,9752000
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1161,2,1,55.15,5515000
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1100,2,2,37.1,3710000
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,31.89,3189000
Super built-up  Area,18-May,Hosa Road,2 BHK,1079,2,1,32.37,3237000
Super built-up  Area,18-Jul,Hosa Road,3 BHK,1726,3,2,81.99,8199000
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1161,2,1,55.15,5515000
Super built-up  Area,18-May,Hosa Road,3 BHK,1639,3,1,80,8000000
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1045,2,1,98.89,9889000
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,1652,3,2,85,8500000
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1365,2,1,92,9200000
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1243,2,2,48.5,4850000
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1541,3,1,69.84,6984000
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1332,2,1,86.12,8612000
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,32.8,3280000
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1311,2,1,84.86,8486000
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1245,2,1,62,6200000
Super built-up  Area,20-Oct,Hosa Road,2 BHK,1040,2,1,61,6100000
Super built-up  Area,18-Jun,Hosa Road,2 BHK,1369.1,2,1,98,9800000
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1040,2,1,68.59,6859000
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1533,3,1,98.18,9818000
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1680,3,1,101,10100000
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1525.84,3,1,117,11700000
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,32,3200000
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1532,3,2,98.13,9813000
Super built-up  Area,Ready To Move,Hosa Road,1 BHK,760,1,1,24.9,2490000
Super built-up  Area,18-Dec,Hosa Road,2 BHK,1161,2,1,55.15,5515000
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1016,2,2,40,4000000
Super built-up  Area,19-Jun,Hosa Road,3 BHK,1512,3,1,123,12300000
Super built-up  Area,18-Jun,Hosa Road,2 BHK,1369.1,2,1,104,10400000
Super built-up  Area,18-May,Hosa Road,2 BHK,1133,2,1,52,5200000
Super built-up  Area,19-Jun,Hosa Road,3 BHK,1513,3,1,103,10300000
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1318,2,1,85.28,8528000
Super built-up  Area,18-Jul,Hosa Road,3 BHK,1665,2,3,125,12500000
Super built-up  Area,Ready To Move,Hosa Road,4 BHK,1708,3,0,64.05,6405000
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1161,2,1,55.15,5515000
Plot  Area,Ready To Move,Hosa Road,3 BHK,675,3,1,70,7000000
Plot  Area,Ready To Move,Hosa Road,2 BHK,880,2,0,50,5000000
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1513,3,1,103,10300000
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1470,2,2,84.22,8422000
Super built-up  Area,18-Aug,Hosa Road,3 BHK,1538,3,1,107,10700000
Super built-up  Area,18-May,Hosa Road,2 BHK,1089,2,1,32.67,3267000
Super built-up  Area,19-Jun,Hosa Road,3 BHK,1512,3,2,103,10300000
Super built-up  Area,18-Sep,Hosa Road,3 BHK,1726,3,2,81.99,8199000
Plot  Area,Ready To Move,Hosa Road,3 BHK,675,3,2,72.5,7250000
Built-up  Area,18-Jan,Hosa Road,3 BHK,2500,3,2,100,10000000
Built-up  Area,Ready To Move,Hosa Road,3 BHK,1100,2,3,85,8500000
Built-up  Area,Ready To Move,Hosa Road,2 BHK,972,2,2,40,4000000
Carpet  Area,18-Jul,Hosahalli,3 BHK,1375,3,2,70,7000000
Plot  Area,Ready To Move,Hosahalli Extension,2 BHK,360,2,1,40,4000000
Super built-up  Area,Ready To Move,Hosahalli Extension,3 BHK,2000,3,2,120,12000000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2376,3,1,203,20300000
Plot  Area,Ready To Move,Hosakerehalli,2 BHK,600,2,0,65,6500000
Plot  Area,Ready To Move,Hosakerehalli,3 BHK,1200,2,1,100,10000000
Plot  Area,Ready To Move,Hosakerehalli,3 BHK,1200,3,2,175,17500000
Plot  Area,Ready To Move,Hosakerehalli,4 BHK,800,4,2,120,12000000
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,1500,3,2,70,7000000
Built-up  Area,Ready To Move,Hosakerehalli,2 BHK,925,2,1,46.5,4650000
Built-up  Area,Ready To Move,Hosakerehalli,1 BHK,1200,1,0,150,15000000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2378,3,1,262,26200000
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,5,1,380,38000000
Built-up  Area,Ready To Move,Hosakerehalli,2 BHK,925,2,1,46.25,4625000
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,5,1,500,50000000
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3024,5,1,248,24800000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2480,3,1,330,33000000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2376,3,1,240,24000000
Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,1795,3,2,64.62,6462000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2378,3,1,310,31000000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2480,4,1,265,26500000
Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,1410,2,2,53.58,5358000
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3033,4,1,326,32600000
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,4,2,300,30000000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,1596,3,3,79.8,7980000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2480,4,1,260,26000000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2480,3,2,245,24500000
Super built-up  Area,18-Aug,Hosakerehalli,2 BHK,1085,2,1,41.23,4123000
Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,1925,2,1,50,5000000
Super built-up  Area,18-Mar,Hosakerehalli,2 BHK,1304,2,3,100,10000000
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3024,5,1,350,35000000
Super built-up  Area,18-Dec,Hosakerehalli,2 BHK,1085,2,1,47.74,4774000
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,1590,3,3,49,4900000
Built-up  Area,Ready To Move,Hosakerehalli Layout,2 BHK,1080,2,3,64,6400000
Super built-up  Area,Ready To Move,Hosapalya,2 BHK,800,1,1,29,2900000
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,600,1,0,90,9000000
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1250,3,2,50,5000000
Super built-up  Area,18-Nov,Hoskote,1 BHK,509,1,1,23,2300000
Super built-up  Area,Ready To Move,Hoskote,2 BHK,945,2,1,35,3500000
Super built-up  Area,Ready To Move,Hoskote,2 BHK,1065,2,2,28.5,2850000
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1395,2,2,63,6300000
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1695,3,3,50,5000000
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1250,3,2,29,2900000
Super built-up  Area,Ready To Move,Hoskote,2 BHK,1170,2,3,45,4500000
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1740,3,3,60,6000000
